/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
test data loaded: 10000 instances
mnist_tobler_s70 eps=0.1: acc=0.9843 vra=0.9766 rob=0.9861
mnist_tobler_s70 eps=0.2: acc=0.9843 vra=0.9658 rob=0.9714
mnist_tobler_s70 eps=0.25: acc=0.9843 vra=0.9591 rob=0.9637
mnist_tobler_s70 eps=0.3: acc=0.9843 vra=0.9534 rob=0.9568
mnist_tobler_s70 eps=0.35: acc=0.9843 vra=0.9438 rob=0.9464
mnist_tobler_s70 eps=0.4: acc=0.9843 vra=0.9350 rob=0.9368
mnist_tobler_s70 eps=0.45: acc=0.9843 vra=0.9236 rob=0.9249
mnist_tobler_s70 eps=0.475: acc=0.9843 vra=0.9174 rob=0.9185
mnist_tobler_s70 eps=0.5: acc=0.9843 vra=0.9100 rob=0.9111
mnist_tobler_s70 eps=0.525: acc=0.9843 vra=0.9012 rob=0.9021
mnist_tobler_s70 eps=0.55: acc=0.9843 vra=0.8915 rob=0.8922
mnist_tobler_s70 eps=0.6: acc=0.9843 vra=0.8738 rob=0.8742
mnist_tobler_s70 eps=0.65: acc=0.9843 vra=0.8538 rob=0.8541
mnist_tobler_s70 eps=0.7: acc=0.9843 vra=0.8292 rob=0.8293
mnist_tobler_s70 eps=0.8: acc=0.9843 vra=0.7712 rob=0.7712
mnist_tobler_s70 eps=1.0: acc=0.9843 vra=0.6109 rob=0.6109
mnist_tobler_s80 eps=0.1: acc=0.9837 vra=0.9751 rob=0.9844
mnist_tobler_s80 eps=0.2: acc=0.9837 vra=0.9642 rob=0.9702
mnist_tobler_s80 eps=0.25: acc=0.9837 vra=0.9587 rob=0.9638
